appId,date,dauReal,predictionLoss,newinstalls,category,ratings,daily_ratings,reviews,daily_reviews
com.app.17806,2024-01-01,163431.0,27040.0,5955.0,OTHERS,682224.0,154.0,168471.0,57.0
com.app.80610,2024-01-01,611934.0,112183.0,10890.0,BUSINESS,893104.0,191.0,359446.0,120.0
com.app.62062,2024-01-01,22618.0,4554.0,871.0,SHOPPING,52665.0,1.0,1845.0,2.0
com.app.34216,2024-01-01,1729.0,1786.0,0.0,DESCONHECIDO,0.0,0.0,0.0,0.0
com.app.26790,2024-01-01,6245.0,1758.0,679.0,FINANCE,50415.0,0.0,26728.0,1.0
com.app.55481,2024-01-01,16664.0,2863.0,1200.0,FINANCE,47504.0,9.0,25356.0,9.0
com.app.18251,2024-01-01,28317.0,2361.0,502.0,FINANCE,74124.0,17.0,15540.0,21.0
com.app.99432,2024-01-01,791535.0,15147.0,8039.0,BUSINESS,245095.0,6.0,138531.0,17.0
com.app.23305,2024-01-01,4686374.0,147684.0,37009.0,OTHERS,2544917.0,392.0,1131299.0,210.0
com.app.60633,2024-01-01,9178.0,9896.0,477.0,OTHERS,176622.0,1.0,18311.0,5.0
com.app.14509,2024-01-01,777969.0,37538.0,24465.0,FINANCE,1242231.0,149.0,584161.0,136.0
com.app.55057,2024-01-01,2141.0,2068.0,520.0,OTHERS,41835.0,7.0,8237.0,2.0
com.app.66274,2024-01-01,6360.0,549.0,365.0,BUSINESS,22252.0,2.0,12705.0,2.0
com.app.68335,2024-01-01,7938.0,1782.0,384.0,FINANCE,4738.0,1.0,3219.0,0.0
com.app.92210,2024-01-01,11512.0,4314.0,550.0,TRAVEL_AND_LOCAL,8836.0,2.0,3539.0,1.0
com.app.64353,2024-01-01,174753.0,2579.0,786.0,FINANCE,24028.0,6.0,9239.0,2.0
com.app.22262,2024-01-01,60546.0,3231.0,2832.0,FINANCE,83471.0,125.0,17281.0,16.0
com.app.95243,2024-01-01,59920.0,3281.0,1962.0,FINANCE,27176.0,12.0,15084.0,23.0
com.app.30329,2024-01-01,797005.0,79693.0,24915.0,FOOD_AND_DRINK,1391576.0,909.0,170012.0,65.0
com.app.97802,2024-01-01,2160.0,7483.0,191.0,OTHERS,2401.0,2.0,1006.0,0.0
com.app.19821,2024-01-01,582584.0,26520.0,19353.0,FOOD_AND_DRINK,802778.0,12.0,278232.0,21.0
com.app.95444,2024-01-01,1818.0,1924.0,443.0,FINANCE,2786.0,0.0,1039.0,0.0
com.app.89044,2024-01-01,899.0,1938.0,72.0,FINANCE,1306.0,0.0,807.0,0.0
com.app.68015,2024-01-01,78253.0,27138.0,3533.0,OTHERS,554215.0,13.0,136064.0,24.0
com.app.81778,2024-01-01,768.0,1786.0,0.0,DESCONHECIDO,0.0,0.0,0.0,0.0
com.app.18711,2024-01-01,78810.0,2184.0,1364.0,BUSINESS,56121.0,4.0,14906.0,3.0
com.app.15675,2024-01-01,83565.0,2503.0,3490.0,FINANCE,546582.0,220.0,83173.0,204.0
com.app.36257,2024-01-01,475571.0,8388.0,7511.0,BUSINESS,97211.0,12.0,56560.0,26.0
com.app.93131,2024-01-01,12443.0,1785.0,137.0,BUSINESS,2958.0,1.0,1241.0,1.0
com.app.88509,2024-01-01,4094009.0,27530.0,53137.0,OTHERS,961533.0,365.0,496734.0,157.0
com.app.87362,2024-01-01,210524.0,26471.0,8628.0,OTHERS,664013.0,26.0,258046.0,15.0
com.app.92275,2024-01-01,57670.0,5245.0,4230.0,SHOPPING,223767.0,12.0,28025.0,1.0
com.app.64634,2024-01-01,1321.0,2093.0,102.0,TRAVEL_AND_LOCAL,536.0,0.0,331.0,0.0
com.app.64764,2024-01-01,15510.0,2289.0,1218.0,FINANCE,41633.0,8.0,15421.0,5.0
com.app.74794,2024-01-01,153064.0,12659.0,5104.0,SHOPPING,202922.0,14.0,73209.0,8.0
com.app.39929,2024-01-01,399307.0,4392.0,2623.0,FINANCE,88725.0,8.0,38568.0,6.0
com.app.37962,2024-01-01,91226.0,7841.0,2712.0,TRAVEL_AND_LOCAL,81955.0,18.0,38968.0,12.0
com.app.31097,2024-01-01,15959.0,8966.0,1858.0,TRAVEL_AND_LOCAL,8452.0,8.0,3153.0,5.0
com.app.63770,2024-01-01,160536.0,6595.0,5291.0,FINANCE,249571.0,124.0,42127.0,38.0
com.app.80525,2024-01-01,9391.0,5611.0,962.0,FINANCE,287872.0,1.0,158760.0,0.0
com.app.60770,2024-01-01,8727.0,1785.0,177.0,FOOD_AND_DRINK,3569.0,1.0,1718.0,0.0
com.app.64667,2024-01-01,154896.0,16453.0,8808.0,SHOPPING,141864.0,51.0,43281.0,8.0
com.app.34656,2024-01-01,43908.0,6678.0,2576.0,SHOPPING,44574.0,5.0,18157.0,5.0
com.app.65216,2024-01-01,9318.0,6341.0,1708.0,FINANCE,9903.0,0.0,4344.0,1.0
com.app.27567,2024-01-01,7733.0,1678.0,944.0,TRAVEL_AND_LOCAL,2473.0,0.0,1400.0,1.0
com.app.90857,2024-01-01,4220.0,1496.0,527.0,SHOPPING,97353.0,2.0,40769.0,2.0
com.app.50792,2024-01-01,7542.0,1400.0,18.0,FINANCE,10104.0,0.0,4819.0,0.0
com.app.91390,2024-01-01,26086.0,15436.0,1539.0,BUSINESS,159477.0,35.0,104690.0,38.0
com.app.79754,2024-01-01,6067.0,5393.0,639.0,OTHERS,97735.0,73.0,6464.0,15.0
com.app.55537,2024-01-01,13563.0,9782.0,105.0,OTHERS,2248.0,2.0,1217.0,1.0
com.app.54019,2024-01-01,4534.0,4615.0,449.0,SHOPPING,2078.0,0.0,266.0,0.0
com.app.96897,2024-01-01,24199.0,3186.0,1209.0,FINANCE,11232.0,12.0,5273.0,7.0
com.app.72653,2024-01-01,15223.0,1516.0,1030.0,FINANCE,36075.0,2.0,15277.0,2.0
com.app.24391,2024-01-01,4469.0,2158.0,65.0,OTHERS,1090.0,11.0,713.0,3.0
com.app.95733,2024-01-01,124602.0,1387.0,117.0,FINANCE,21502.0,1.0,4823.0,1.0
com.app.15493,2024-01-01,52117.0,1553.0,170.0,FINANCE,14778.0,10.0,6388.0,0.0
com.app.47280,2024-01-01,5677441.0,60707.0,22308.0,FINANCE,6348856.0,699.0,1464398.0,127.0
